"State","Place","SEIFADisadvantage2011","Index of Relative Socio-economic Advantage and Disadvantage"
"New South Wales","  Albury (C)",979,967
"New South Wales","  Armidale Dumaresq (A)",987,985
"New South Wales","  Ashfield (A)",1015,1031
"New South Wales","  Auburn (C)",917,944
"New South Wales","  Ballina (A)",989,980
"New South Wales","  Balranald (A)",946,929
"New South Wales","  Bankstown (C)",932,946
"New South Wales","  Bathurst Regional (A)",991,985
"New South Wales","  Bega Valley (A)",969,951
"New South Wales","  Bellingen (A)",950,942
"New South Wales","  Berrigan (A)",954,938
"New South Wales","  Blacktown (C)",968,974
"New South Wales","  Bland (A)",975,959
"New South Wales","  Blayney (A)",982,973
"New South Wales","  Blue Mountains (C)",1039,1038
"New South Wales","  Bogan (A)",946,934
"New South Wales","  Bombala (A)",952,936
"New South Wales","  Boorowa (A)",964,954
"New South Wales","  Botany Bay (C)",976,985
"New South Wales","  Bourke (A)",933,934
"New South Wales","  Brewarrina (A)",788,816
"New South Wales","  Broken Hill (C)",900,888
"New South Wales","  Burwood (A)",996,1022
"New South Wales","  Byron (A)",977,979
"New South Wales","  Cabonne (A)",1000,993
"New South Wales","  Camden (A)",1047,1056
"New South Wales","  Campbelltown (C)",945,943
"New South Wales","  Canada Bay (A)",1067,1086
"New South Wales","  Canterbury (C)",922,939
"New South Wales","  Carrathool (A)",969,959
"New South Wales","  Central Darling (A)",824,841
"New South Wales","  Cessnock (C)",936,922
"New South Wales","  Clarence Valley (A)",919,907
"New South Wales","  Cobar (A)",957,944
"New South Wales","  Coffs Harbour (C)",958,950
"New South Wales","  Conargo (A)",1040,1039
"New South Wales","  Coolamon (A)",975,960
"New South Wales","  Cooma-Monaro (A)",991,976
"New South Wales","  Coonamble (A)",880,887
"New South Wales","  Cootamundra (A)",942,928
"New South Wales","  Corowa Shire (A)",968,943
"New South Wales","  Cowra (A)",928,919
"New South Wales","  Deniliquin (A)",942,926
"New South Wales","  Dubbo (C)",977,965
"New South Wales","  Dungog (A)",989,978
"New South Wales","  Eurobodalla (A)",956,940
"New South Wales","  Fairfield (C)",854,886
"New South Wales","  Forbes (A)",947,936
"New South Wales","  Gilgandra (A)",911,911
"New South Wales","  Glen Innes Severn (A)",922,914
"New South Wales","  Gloucester (A)",951,937
"New South Wales","  Gosford (C)",1006,1001
"New South Wales","  Goulburn Mulwaree (A)",951,944
"New South Wales","  Great Lakes (A)",932,920
"New South Wales","  Greater Hume Shire (A)",989,976
"New South Wales","  Greater Taree (C)",914,906
"New South Wales","  Griffith (C)",964,951
"New South Wales","  Gundagai (A)",962,945
"New South Wales","  Gunnedah (A)",947,936
"New South Wales","  Guyra (A)",931,921
"New South Wales","  Gwydir (A)",940,934
"New South Wales","  Harden (A)",942,933
"New South Wales","  Hawkesbury (C)",1020,1017
"New South Wales","  Hay (A)",927,915
"New South Wales","  Holroyd (C)",966,972
"New South Wales","  Hornsby (A)",1085,1106
"New South Wales","  Hunters Hill (A)",1092,1123
"New South Wales","  Hurstville (C)",1007,1018
"New South Wales","  Inverell (A)",921,912
"New South Wales","  Jerilderie (A)",998,983
"New South Wales","  Junee (A)",942,932
"New South Wales","  Kempsey (A)",880,876
"New South Wales","  Kiama (A)",1055,1050
"New South Wales","  Kogarah (C)",1036,1051
"New South Wales","  Ku-ring-gai (A)",1121,1155
"New South Wales","  Kyogle (A)",907,902
"New South Wales","  Lachlan (A)",938,934
"New South Wales","  Lake Macquarie (C)",995,985
"New South Wales","  Lane Cove (A)",1107,1130
"New South Wales","  Leeton (A)",954,938
"New South Wales","  Leichhardt (A)",1079,1105
"New South Wales","  Lismore (C)",953,946
"New South Wales","  Lithgow (C)",924,916
"New South Wales","  Liverpool (C)",951,968
"New South Wales","  Liverpool Plains (A)",921,913
"New South Wales","  Lockhart (A)",999,983
"New South Wales","  Maitland (C)",993,986
"New South Wales","  Manly (A)",1099,1125
"New South Wales","  Marrickville (A)",1022,1043
