"2016 Local Government Area (LGA) Code","2016 Local Government Area (LGA) Name","Index of Relative Socio-economic Disadvantage",,"Index of Relative Socio-economic Advantage and Disadvantage",,"Index of Economic Resources",,"Index of Education and Occupation",,"Usual Resident Population"
,,"Score","Decile","Score","Decile","Score","Decile","Score","Decile",
10050,"Albury (C)",971,5,956,5,960,3,961,6,"51,076"
10130,"Armidale Regional (A)",980,6,976,7,958,3,1015,9,"29,449"
10250,"Ballina (A)",1003,8,987,8,998,7,999,8,"41,790"
10300,"Balranald (A)",942,3,927,3,969,4,915,2,"2,287"
10470,"Bathurst Regional (A)",986,6,973,7,993,6,978,7,"41,300"
10550,"Bega Valley (A)",976,6,951,5,982,5,959,6,"33,253"
10600,"Bellingen (A)",966,5,954,5,975,5,990,8,"12,668"
10650,"Berrigan (A)",954,4,935,4,968,4,941,4,"8,462"
10750,"Blacktown (C)",986,6,993,8,1011,8,968,6,"336,962"
10800,"Bland (A)",973,5,954,5,1003,7,951,5,"5,955"
10850,"Blayney (A)",982,6,965,6,1011,8,953,5,"7,257"
10900,"Blue Mountains (C)",1045,9,1042,9,1039,9,1070,9,"76,904"
10950,"Bogan (A)",950,4,938,4,971,4,945,5,"2,692"
11100,"Botany Bay (C)",1001,7,1028,9,968,4,1029,9,"46,654"
11150,"Bourke (A)",916,2,932,3,924,2,992,8,"2,634"
11200,"Brewarrina (A)",757,1,818,1,768,1,943,4,"1,651"
11250,"Broken Hill (C)",901,2,887,2,918,2,895,2,"17,708"
11300,"Burwood (A)",999,7,1043,9,944,2,1067,9,"36,809"
11350,"Byron (A)",1003,8,1003,8,995,7,1047,9,"31,556"
11400,"Cabonne (A)",1010,8,997,8,1043,9,991,8,"13,386"
11450,"Camden (A)",1056,10,1056,9,1104,10,1003,8,"78,218"
11500,"Campbelltown (C) (NSW)",950,4,948,5,977,5,932,4,"157,006"
11520,"Canada Bay (A)",1068,10,1107,10,1020,9,1120,10,"88,015"
11570,"Canterbury-Bankstown (A)",935,3,961,6,956,3,967,6,"346,302"
11600,"Carrathool (A)",976,5,964,6,989,6,955,5,"2,719"
11650,"Central Coast (C) (NSW)",989,6,975,7,1001,7,970,6,"327,736"
11700,"Central Darling (A)",817,1,855,1,855,1,931,4,"1,833"
11720,"Cessnock (C)",925,3,904,2,967,4,879,1,"55,560"
11730,"Clarence Valley (A)",926,3,908,2,953,3,918,3,"50,671"
11750,"Cobar (A)",968,5,951,5,980,5,927,3,"4,647"
11800,"Coffs Harbour (C)",967,5,954,5,974,5,960,6,"72,944"
12000,"Coolamon (A)",977,6,960,6,1013,8,965,6,"4,315"
12150,"Coonamble (A)",869,1,883,2,916,2,928,3,"3,918"
12350,"Cowra (A)",924,2,910,2,958,3,915,2,"12,460"
12380,"Cumberland (A)",929,3,959,5,941,2,963,6,"216,079"
12700,"Dungog (A)",989,7,973,7,1027,9,959,6,"8,975"
12730,"Edward River (A)",957,4,941,4,968,4,947,5,"8,851"
12750,"Eurobodalla (A)",962,5,938,4,971,4,949,5,"37,232"
12850,"Fairfield (C)",856,1,896,2,943,2,882,1,"198,817"
12870,"Federation (A)",963,5,936,4,975,5,923,3,"12,277"
12900,"Forbes (A)",953,4,937,4,971,4,945,5,"9,587"
12930,"Georges River (A)",1020,8,1043,9,1000,7,1048,9,"146,841"
12950,"Gilgandra (A)",907,2,906,2,960,3,928,3,"4,236"
13010,"Glen Innes Severn (A)",915,2,909,2,942,2,936,4,"8,836"
13310,"Goulburn Mulwaree (A)",960,5,946,4,980,5,942,4,"29,609"
13340,"Greater Hume Shire (A)",987,6,969,6,1016,8,974,7,"10,351"
13450,"Griffith (C)",959,4,943,4,977,5,917,2,"25,641"
13510,"Gundagai (A)",943,3,926,3,971,4,926,3,"11,141"
13550,"Gunnedah (A)",956,4,943,4,987,6,927,3,"12,215"
13660,"Gwydir (A)",941,3,936,4,976,5,964,6,"5,258"
13800,"Hawkesbury (C)",1028,9,1014,9,1058,10,979,7,"64,592"
13850,"Hay (A)",937,3,922,3,962,3,924,3,"2,946"
13910,"Hilltops (A)",949,4,932,3,973,4,937,4,"18,498"
14000,"Hornsby (A)",1091,10,1115,10,1091,10,1115,10,"142,667"
14100,"Hunters Hill (A)",1098,10,1143,10,1093,10,1157,10,"13,999"
14170,"Inner West (A)",1053,10,1097,10,994,7,1124,10,"182,043"
14200,"Inverell (A)",916,2,904,2,948,3,921,3,"16,483"
14300,"Junee (A)",942,3,927,3,984,6,914,2,"6,295"
14350,"Kempsey (A)",888,2,877,1,935,2,891,1,"28,885"
14400,"Kiama (A)",1064,10,1056,9,1058,10,1062,9,"21,464"
14500,"Ku-ring-gai (A)",1121,10,1166,10,1132,10,1170,10,"118,053"
14550,"Kyogle (A)",910,2,905,2,949,3,940,4,"8,940"
14600,"Lachlan (A)",924,2,922,3,953,3,945,5,"6,194"
14650,"Lake Macquarie (C)",996,7,979,7,1005,8,967,6,"197,371"
14700,"Lane Cove (A)",1111,10,1154,10,1070,10,1171,10,"36,051"
14750,"Leeton (A)",954,4,935,4,975,5,917,2,"11,168"
14850,"Lismore (C)",954,4,942,4,956,3,966,6,"43,135"
14870,"Lithgow (C)",923,2,908,2,953,3,893,1,"21,090"
14900,"Liverpool (C)",952,4,972,6,1008,8,953,5,"204,326"
14920,"Liverpool Plains (A)",914,2,906,2,958,3,910,2,"7,687"
14950,"Lockhart (A)",986,6,971,6,1014,8,983,7,"3,119"
15050,"Maitland (C)",983,6,966,6,1005,8,941,4,"77,305"
15240,"Mid-Coast (A)",928,3,911,2,955,3,919,3,"90,303"
15270,"Mid-Western Regional (A)",960,5,942,4,989,6,927,3,"24,076"
15300,"Moree Plains (A)",917,2,919,3,939,2,934,4,"13,159"
15350,"Mosman (A)",1115,10,1165,10,1076,10,1188,10,"28,475"
15520,"Murray River (A)",991,7,969,6,1000,7,971,7,"11,680"
